구분,질문키,응답유형,응답텍스트,이미지링크,버튼라벨,버튼링크,정렬순서,사용여부
FAQ,UHM69,CAP-3,text,,,,1,Y
FAQ,UHM75,HSG(BL),text,,,,1,Y
FAQ,UHM95,FP,text,,,,1,Y
FAQ,UHMA5,HSG(UL),text,,,,1,Y
FAQ,UHMAL,HSG(BL)UL,text,,,,1,Y
FAQ,UHMB8,SSA(UL)무,text,,,,1,Y
FAQ,UHMF0,SPT,text,,,,1,Y
FAQ,UHMH0,HOE,text,,,,1,Y
FAQ,UHMH2,HOE,text,,,,1,Y
FAQ,UHMH7,HOX,text,,,,1,Y
FAQ,UHMJ0,BES2215,text,,,,1,Y
FAQ,UHMJ3,RL121,text,,,,1,Y
FAQ,UHMJ4,RL121,text,,,,1,Y
FAQ,UHMJA,BES2215,text,,,,1,Y
FAQ,UHMJB,BES2215,text,,,,1,Y
FAQ,UHMJE,RD(BK),text,,,,1,Y
FAQ,UHMJF,RD(OR),text,,,,1,Y
FAQ,UHMK0,SPR,text,,,,1,Y
FAQ,UHMKA,Bus bar,text,,,,1,Y
FAQ,UHMKC,HIT122,text,,,,1,Y
FAQ,UHMKD,SDT(RD),text,,,,1,Y
FAQ,UHMM0,HS(G),text,,,,1,Y
FAQ,UHMM1,HSG(RE),text,,,,1,Y
FAQ,UHMM2,HSG(BL),text,,,,1,Y
FAQ,UHMM6,LSA,text,,,,1,Y
FAQ,UHMM8,SSA,text,,,,1,Y
FAQ,UHMMA,SSA(UL)무,text,,,,1,Y
FAQ,UHMMC,FP,text,,,,1,Y
FAQ,UHMMP,HSG(RE)UL,text,,,,1,Y
FAQ,UHMMS,HSG(UL),text,,,,1,Y
FAQ,UHMMT,HSG(BL)UL,text,,,,1,Y
FAQ,UHMMU,HSG(RE)UL,text,,,,1,Y
FAQ,UHMMV,HSG(WH)UL,text,,,,1,Y
FAQ,18508-30300,LSA,text,,,,1,Y
FAQ,18508-30300,ESA(RE),text,,,,1,Y
FAQ,18508-30300,SSA,text,,,,1,Y
FAQ,18508-30300,HSA,text,,,,1,Y
FAQ,18509-30100,HSG,text,,,,1,Y
FAQ,18512-30100,HOE,text,,,,1,Y
FAQ,18512-30100,HOX,text,,,,1,Y
FAQ,18506-30300,BES2215,text,,,,1,Y
FAQ,18506-30300,BES(ATM),text,,,,1,Y
FAQ,18504-20100,SPT,text,,,,1,Y
FAQ,18504-20200,RL,text,,,,1,Y
FAQ,18503-18700,RD,text,,,,1,Y
